id,created_at,updated_at,name,short_name,stock_ticker,description,cik,gics_sector,gics_sub_industry,headquarters_location,founded_year
283,2021-06-18 12:12:46,2021-06-18 12:12:46,Las Vegas Sands,Las Vegas Sands,LVS,,0001300514,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1988
284,2021-06-18 12:12:46,2021-06-18 12:12:46,Leggett & Platt,Leggett & Platt,LEG,,0000058492,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",1883
285,2021-06-18 12:12:46,2021-06-18 12:12:46,Leidos Holdings,Leidos Holdings,LDOS,,0001336920,Information Technology,IT Consulting & Other Services,"Reston, Virginia",1969
286,2021-06-18 12:12:46,2021-06-18 12:12:46,Lennar Corp.,Lennar Corp.,LEN,,0000920760,Consumer Discretionary,Homebuilding,"Miami, Florida",1954
287,2021-06-18 12:12:46,2021-06-18 12:12:46,Lilly (Eli) & Co.,Lilly (Eli) & Co.,LLY,,0000059478,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1876
288,2021-06-18 12:12:46,2021-06-18 12:12:46,Lincoln National,Lincoln National,LNC,,0000059558,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1905
289,2021-06-18 12:12:46,2021-06-18 12:12:46,Linde plc,Linde plc,LIN,,0001707925,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1879
290,2021-06-18 12:12:46,2021-06-18 12:12:46,Live Nation Entertainment,Live Nation Entertainment,LYV,,0001335258,Communication Services,Movies & Entertainment,"Beverly Hills, California",2010
292,2021-06-18 12:12:46,2021-06-18 12:12:46,Lockheed Martin Corp.,Lockheed Martin Corp.,LMT,,0000936468,Industrials,Aerospace & Defense,"Bethesda, Maryland",1995
293,2021-06-18 12:12:46,2021-06-18 12:12:46,Loews Corp.,Loews Corp.,L,,0000060086,Financials,Multi-line Insurance,"New York, New York",1959
294,2021-06-18 12:12:46,2021-06-18 12:12:46,Lowe's Cos.,Lowe's Cos.,LOW,,0000060667,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959
295,2021-06-18 12:12:46,2021-06-18 12:12:46,Lumen Technologies,Lumen Technologies,LUMN,,0000018926,Communication Services,Alternative Carriers,"Monroe, Louisiana",1983 (1877)
296,2021-06-18 12:12:46,2021-06-18 12:12:46,LyondellBasell,LyondellBasell,LYB,,0001489393,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2007
297,2021-06-18 12:12:46,2021-06-18 12:12:46,M&T Bank,M&T Bank,MTB,,0000036270,Financials,Regional Banks,"Buffalo, New York",1856
314,2021-06-18 12:12:46,2021-06-18 12:12:46,MGM Resorts International,MGM Resorts International,MGM,,0000789570,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1986
328,2021-06-18 12:12:46,2021-06-18 12:12:46,MSCI Inc,MSCI Inc,MSCI,,0001408198,Financials,Financial Exchanges & Data,"New York, New York",1969
298,2021-06-18 12:12:46,2021-06-18 12:12:46,Marathon Oil Corp.,Marathon Oil Corp.,MRO,,0000101778,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1887
299,2021-06-18 12:12:46,2021-06-18 12:12:46,Marathon Petroleum,Marathon Petroleum,MPC,,0001510295,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2009 (1887)
300,2021-06-18 12:12:46,2021-06-18 12:12:46,MarketAxess,MarketAxess,MKTX,,0001278021,Financials,Financial Exchanges & Data,"New York, New York",2000
301,2021-06-18 12:12:46,2021-06-18 12:12:46,Marriott International,Marriott International,MAR,,0001048286,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927
302,2021-06-18 12:12:46,2021-06-18 12:12:46,Marsh & McLennan,Marsh & McLennan,MMC,,0000062709,Financials,Insurance Brokers,"New York, New York",1905
303,2021-06-18 12:12:46,2021-06-18 12:12:46,Martin Marietta Materials,Martin Marietta Materials,MLM,,0000916076,Materials,Construction Materials,"Raleigh, North Carolina",1993
304,2021-06-18 12:12:46,2021-06-18 12:12:46,Masco Corp.,Masco Corp.,MAS,,0000062996,Industrials,Building Products,"Livonia, Michigan",1929
305,2021-06-18 12:12:46,2021-06-18 12:12:46,Mastercard Inc.,Mastercard Inc.,MA,,0001141391,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",1966
307,2021-06-18 12:12:46,2021-06-18 12:12:46,Maxim Integrated Products,Maxim Integrated Products,MXIM,,0000743316,Information Technology,Semiconductors,"San Jose, California",1983
306,2021-06-18 12:12:46,2021-06-18 12:12:46,McCormick & Co.,McCormick & Co.,MKC,,0000063754,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1889
308,2021-06-18 12:12:46,2021-06-18 12:12:46,McDonald's Corp.,McDonald's,MCD,,0000063908,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940
309,2021-06-18 12:12:46,2021-06-18 12:12:46,McKesson Corp.,McKesson Corp.,MCK,,0000927653,Health Care,Health Care Distributors,"Irving, Texas",1833
310,2021-06-18 12:12:46,2021-06-18 12:12:46,Medtronic plc,Medtronic plc,MDT,,0001613103,Health Care,Health Care Equipment,"Dublin, Ireland",1949
311,2021-06-18 12:12:46,2021-06-18 12:12:46,Merck & Co.,Merck & Co.,MRK,,0000310158,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1891
312,2021-06-18 12:12:46,2021-06-18 12:12:46,MetLife Inc.,MetLife Inc.,MET,,0001099219,Financials,Life & Health Insurance,"New York, New York",1868
313,2021-06-18 12:12:46,2021-06-18 12:12:46,Mettler Toledo,Mettler Toledo,MTD,,0001037646,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1945
315,2021-06-18 12:12:46,2021-06-18 12:12:46,Microchip Technology,Microchip Technology,MCHP,,0000827054,Information Technology,Semiconductors,"Chandler, Arizona",1989
316,2021-06-18 12:12:46,2021-06-18 12:12:46,Micron Technology,Micron Technology,MU,,0000723125,Information Technology,Semiconductors,"Boise, Idaho",1978
317,2021-06-18 12:12:46,2021-06-18 12:12:46,Microsoft Corp.,Microsoft Corp.,MSFT,,0000789019,Information Technology,Systems Software,"Redmond, Washington",1975
318,2021-06-18 12:12:46,2021-06-18 12:12:46,Mid-America Apartments,Mid-America Apartments,MAA,,0000912595,Real Estate,Residential REITs,"Memphis, Tennessee",1977
319,2021-06-18 12:12:46,2021-06-18 12:12:46,Mohawk Industries,Mohawk Industries,MHK,,0000851968,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",1878
320,2021-06-18 12:12:46,2021-06-18 12:12:46,Molson Coors Beverage Company,Molson Coors Beverage Company,TAP,,0000024545,Consumer Staples,Brewers,"Denver, Colorado","2005 (Molson 1786, Coors 1873)"
321,2021-06-18 12:12:46,2021-06-18 12:12:46,Mondelez International,Mondelez International,MDLZ,,0001103982,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012
322,2021-06-18 12:12:46,2021-06-18 12:12:46,Monolithic Power Systems,Monolithic Power Systems,MPWR,,0001280452,Information Technology,Semiconductors,"Kirkland, Washington",1997
323,2021-06-18 12:12:46,2021-06-18 12:12:46,Monster Beverage,Monster Beverage,MNST,,0000865752,Consumer Staples,Soft Drinks,"Corona, California",2012 (1935)
324,2021-06-18 12:12:46,2021-06-18 12:12:46,Moody's Corp,Moody's Corp,MCO,,0001059556,Financials,Financial Exchanges & Data,"New York, New York",1909
325,2021-06-18 12:12:46,2021-06-18 12:12:46,Morgan Stanley,Morgan Stanley,MS,,0000895421,Financials,Investment Banking & Brokerage,"New York, New York",1935
327,2021-06-18 12:12:46,2021-06-18 12:12:46,Motorola Solutions Inc.,Motorola Solutions Inc.,MSI,,0000068505,Information Technology,Communications Equipment,"Chicago, Illinois",1928 (2011)
345,2021-06-18 12:12:46,2021-06-18 12:12:46,NOV Inc.,NOV Inc.,NOV,,0001021860,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1841
346,2021-06-18 12:12:46,2021-06-18 12:12:46,NRG Energy,NRG Energy,NRG,,0001013871,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1992
349,2021-06-18 12:12:46,2021-06-18 12:12:46,"NVR, Inc.","NVR, Inc.",NVR,,0000906163,Consumer Discretionary,Homebuilding,"Reston, Virginia",1980
329,2021-06-18 12:12:46,2021-06-18 12:12:46,"Nasdaq, Inc.","Nasdaq, Inc.",NDAQ,,0001120193,Financials,Financial Exchanges & Data,"New York, New York",1971
330,2021-06-18 12:12:46,2021-06-18 12:12:46,NetApp,NetApp,NTAP,,0001002047,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1992
331,2021-06-18 12:12:46,2021-06-18 12:12:46,Netflix Inc.,Netflix Inc.,NFLX,,0001065280,Communication Services,Movies & Entertainment,"Los Gatos, California",1997
332,2021-06-18 12:12:46,2021-06-18 12:12:46,Newell Brands,Newell Brands,NWL,,0000814453,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1903
333,2021-06-18 12:12:46,2021-06-18 12:12:46,Newmont Corporation,Newmont Corporation,NEM,,0001164727,Materials,Gold,"Denver, Colorado",1921
334,2021-06-18 12:12:46,2021-06-18 12:12:46,News Corp (Class A),News Corp,NWSA,,0001564708,Communication Services,Publishing,"New York, New York",2013 (1980)
335,2021-06-18 12:12:46,2021-06-18 12:12:46,News Corp (Class B),News Corp (Class B),NWS,,0001564708,Communication Services,Publishing,"New York, New York",2013 (1980)
336,2021-06-18 12:12:46,2021-06-18 12:12:46,NextEra Energy,NextEra Energy,NEE,,0000753308,Utilities,Multi-Utilities,"Juno Beach, Florida",1984 (1925)
339,2021-06-18 12:12:46,2021-06-18 12:12:46,NiSource Inc.,NiSource Inc.,NI,,0001111711,Utilities,Multi-Utilities,"Merrillville, Indiana",1912
337,2021-06-18 12:12:46,2021-06-18 12:12:46,Nielsen Holdings,Nielsen Holdings,NLSN,,0001492633,Industrials,Research & Consulting Services,"New York, New York",1923
338,2021-06-18 12:12:46,2021-06-18 12:12:46,"Nike, Inc.","Nike, Inc.",NKE,,0000320187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964
340,2021-06-18 12:12:46,2021-06-18 12:12:46,Norfolk Southern Corp.,Norfolk Southern Corp.,NSC,,0000702165,Industrials,Railroads,"Norfolk, Virginia",1881/1894 (1980)
341,2021-06-18 12:12:46,2021-06-18 12:12:46,Northern Trust Corp.,Northern Trust Corp.,NTRS,,0000073124,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1889
342,2021-06-18 12:12:46,2021-06-18 12:12:46,Northrop Grumman,Northrop Grumman,NOC,,0001133421,Industrials,Aerospace & Defense,"West Falls Church, Virginia","1994 (Northrop 1939, Grumman 1930)"
343,2021-06-18 12:12:46,2021-06-18 12:12:46,NortonLifeLock,NortonLifeLock,NLOK,,0000849399,Information Technology,Application Software,"Tempe, Arizona",1982
344,2021-06-18 12:12:46,2021-06-18 12:12:46,Norwegian Cruise Line Holdings,Norwegian Cruise Line Holdings,NCLH,,0001513761,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2011 (1966)
347,2021-06-18 12:12:46,2021-06-18 12:12:46,Nucor Corp.,Nucor Corp.,NUE,,0000073309,Materials,Steel,"Charlotte, North Carolina",1940
348,2021-06-18 12:12:46,2021-06-18 12:12:46,Nvidia Corporation,Nvidia Corporation,NVDA,,0001045810,Information Technology,Semiconductors,"Santa Clara, California",1993
350,2021-06-18 12:12:46,2021-06-18 12:12:46,O'Reilly Automotive,O'Reilly Automotive,ORLY,,0000898173,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",1957
351,2021-06-18 12:12:46,2021-06-18 12:12:46,Occidental Petroleum,Occidental Petroleum,OXY,,0000797468,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1920
352,2021-06-18 12:12:46,2021-06-18 12:12:46,Old Dominion Freight Line,Old Dominion Freight Line,ODFL,,0000878927,Industrials,Trucking,"Thomasville, North Carolina",1934
353,2021-06-18 12:12:46,2021-06-18 12:12:46,Omnicom Group,Omnicom Group,OMC,,0000029989,Communication Services,Advertising,"New York, New York",1986
354,2021-06-18 12:12:46,2021-06-18 12:12:46,Oneok,Oneok,OKE,,0001039684,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1906
355,2021-06-18 12:12:46,2021-06-18 12:12:46,Oracle Corp.,Oracle Corp.,ORCL,,0001341439,Information Technology,Application Software,"Austin, Texas",1977
356,2021-06-18 12:12:46,2021-06-18 12:12:46,Otis Worldwide,Otis Worldwide,OTIS,,0001781335,Industrials,Industrial Machinery,"Farmington, Connecticut",2020 (1853)
373,2021-06-18 12:12:46,2021-06-18 12:12:46,PNC Financial Services,PNC Financial Services,PNC,,0000713676,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1845
375,2021-06-18 12:12:46,2021-06-18 12:12:46,PPG Industries,PPG Industries,PPG,,0000079879,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883
376,2021-06-18 12:12:46,2021-06-18 12:12:46,PPL Corp.,PPL Corp.,PPL,,0000922224,Utilities,Electric Utilities,"Allentown, Pennsylvania",1920
385,2021-06-18 12:12:46,2021-06-18 12:12:46,PVH Corp.,PVH Corp.,PVH,,0000078239,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1881
